Name, Groups
"ethanol","1*CH3 1*CH2 1*OH"
"water","1*H2O"
"methanol","1*CH3OH"
"n-decane","2*CH3 8*CH2"
"n-octadecane","2*CH3 16*CH2"
"n-hexadecane","2*CH3 14*CH2"
"n-tetradecane","2*CH3 12*CH2"
"n-heneicosane","2*CH3 19*CH2"
"phenanthrene","10*ACH 4*AC"
"cyclohexane","6*CH2"
"n-heptylbenzene","1*CH3 5*CH2 1*ACCH2 5*ACH"
"naphthalene","8*ACH 2*AC"
"tetralin","4*ACH 2*AC 4*CH2"
"diethylamine","2*CH3 1*CH2 1*CH2NH"
"n-heptane","2*CH3 5*CH2"
"chloroform","1*CHCl3"
"n-dodecane","2*CH3 10*CH2"
"indene","6*ACH 2*AC 1*CH2"
"anthracene","10*ACH 4*AC"
"tetradecane","2*CH3 12*CH2"
"n-hexane","2*CH3 4*CH2"
"decalin","8*CH2 2*CH"
"n-pentylbenzene","1*CH3 3*CH2 1*ACCH2 5*ACH"
"1-methylnaphthalene","1*ACCH3 7*ACH 2*AC"
"n-tridecane","2*CH3 11*CH2"
"n-eicosane","2*CH3 18*CH2"
"2,2,3,3-tetramethylhexane","3*CH3 7*CH2"
"2,2,4,4,6,8,8-heptamethylnonane","9*CH3 7*CH2"
"m-xylene","2*ACCH3 6*ACH"
"m-cymene","3*ACCH3 7*ACH"
"n-hexylbenzene","1*CH3 4*CH2 1*ACCH2 6*ACH"
"n-pentane","2*CH3 3*CH2"
